current_state,previous_state,estimate,margin_of_error,year
GA,IA,1096,821.0,2010
GA,ID,414,478.0,2010
GA,IL,9736,3665.0,2010
GA,IN,2649,1023.0,2010
GA,KS,1355,1097.0,2010
GA,KY,6525,2248.0,2010
GA,LA,3645,1604.0,2010
GA,MA,3910,2127.0,2010
GA,MD,5382,1767.0,2010
GA,ME,0,300.0,2010
GA,MI,6857,1831.0,2010
GA,MN,1169,718.0,2010
GA,MO,3072,1087.0,2010
GA,MS,2380,959.0,2010
GA,MT,52,92.0,2010
GA,NC,15361,3426.0,2010
GA,ND,0,300.0,2010
GA,NE,148,139.0,2010
GA,NH,162,161.0,2010
GA,NJ,4151,1203.0,2010
GA,NM,826,509.0,2010
GA,NV,1155,684.0,2010
GA,NY,12472,2568.0,2010
GA,OH,9323,2446.0,2010
GA,OK,2070,1458.0,2010
GA,OR,843,626.0,2010
GA,PA,6294,1914.0,2010
GA,RI,43,70.0,2010
GA,SC,15562,3592.0,2010
GA,SD,557,540.0,2010
GA,TN,14445,3273.0,2010
GA,TX,11424,2574.0,2010
GA,UT,380,291.0,2010
GA,VA,8393,2087.0,2010
GA,VT,361,458.0,2010
GA,WA,4495,2034.0,2010
GA,WI,3416,2022.0,2010
GA,WV,358,295.0,2010
GA,WY,102,118.0,2010
HI,AK,743,609.0,2010
HI,AL,749,542.0,2010
HI,AR,0,275.0,2010
HI,AZ,1398,849.0,2010
HI,CA,12677,2325.0,2010
HI,CO,1073,667.0,2010
HI,CT,307,392.0,2010
HI,DC,0,275.0,2010
HI,DE,0,275.0,2010
HI,FL,4599,2610.0,2010
HI,GA,2013,1185.0,2010
HI,IA,68,118.0,2010
HI,ID,42,70.0,2010
HI,IL,715,412.0,2010
HI,IN,192,209.0,2010
HI,KS,387,345.0,2010
HI,KY,95,159.0,2010
HI,LA,88,151.0,2010
HI,MA,1283,944.0,2010
HI,MD,990,737.0,2010
HI,ME,89,145.0,2010
HI,MI,627,548.0,2010
HI,MN,476,350.0,2010
HI,MO,170,171.0,2010
HI,MS,234,368.0,2010
HI,MT,150,261.0,2010
HI,NC,1510,994.0,2010
HI,ND,69,116.0,2010
HI,NE,0,275.0,2010
HI,NH,496,685.0,2010
HI,NJ,443,417.0,2010
HI,NM,11,19.0,2010
HI,NV,1925,1184.0,2010
